page_id,movie_title,year,genre,director,actor_count,extraction_source,error,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10
515568,מבצע קהיר,1966,ריגול | דרמה,מנחם גולן,10,infobox+section,,אודי מרפי,ג'ורג' סנדרס,מריאנה קוך,גילה אלמגור,יוסף ידין,בומבה צור,איתן פריבר,זאב ברלינסקי,אליעזר יונג,שלמה וישינסקי
771210,מוישה ונטילטור,1966,קומדיה,אורי זוהר,10,infobox+section,,יעקב בודו,שייקה לוי,גברי בנאי,ישראל פוליאקוב,שייקה אופיר,אברהם מור,גדעון זינגר,תקוה מור,אורי לוי,אורי זוהר
1937401,סבינה והגברים,1966,,פיטר פריישטדט,10,infobox,,זאב רווח,דודיק סמדר,אהרן מסקין,אורי זוהר,עמוס מוקדי,ברכה נאמן,שייקה אופיר,גדעון זינגר,יעקב איינשטיין,זהרירה חריפאי
187658,פורטונה (סרט),1966,דרמה,מנחם גולן,10,infobox,,גילה אלמגור,יוסי בנאי,שמוליק קראוס,אברהם מור,אבנר חזקיהו,בומבה צור,מרים ברנשטיין-כהן,אריס סאן,שייקה לוי,גברי בנאי
1136105,שני קוני למל (סרט),1966,מוזיקלי,ישראל בקר,9,infobox+section,,מייק בורשטיין,שמואל רודנסקי,רפאל קלצ'קין,אלישבע מיכאלי,רינה גנור,ז'רמן אוניקובסקי,אהרן מסקין,מרדכי (פופיק) ארנון,חנן גולדבלט,
1374634,999... עליזה מזרחי,1967,קומדיה בלשית,מנחם גולן,10,infobox+section,,עדנה פלידל,אבנר חזקיהו,יוסי בנאי,אורי זוהר,אריה אליאס,אריק לביא,זיוה רודן-שפיר,אלישבע מיכאלי,מרדכי ארנון,שמוליק קראוס
412065,ארבינקא (סרט),1967,קומדיה,אפרים קישון,10,infobox+section,,חיים טופול,גילה אלמגור,שרגא פרידמן,שייקה אופיר,אבנר חזקיהו,יהודה פוקס,מוסקו אלקלעי,אלישבע מיכאלי,גבי עמרני,גברי בנאי
2186150,האם תל אביב בוערת?,1967,,קובי ייגר,10,infobox+section,,גדעון שמר,אביבה מרקס,מוטי ברכאן,גאולה נוני,מישא אשרוב,אלכס פלג,מישה אשרוב,נאוה שאן,אברהם רונאי,עליזה רוזן
916434,הוא הלך בשדות (סרט),1967,,יוסף מילוא,10,infobox,,אסי דיין,איריס יוטבת,חנה עדן,יוסף מילוא,שמואל עצמון,יעקב בן-סירא,אלי כהן,שרגא פרידמן,יוסי גרבר,אורי לוי
721528,לאט יותר,1967,דרמה,אברהם הפנר,2,infobox,,פאני לוביץ',אברהם בן-יוסף,,,,,,,,
1769948,סיירים (סרט),1967,מלחמה,מיכה שגריר,10,infobox+section,,זאב רווח,אילי גורליצקי,ליאור ייני,אלי כהן,ז'אק כהן,יוסי אוחנה,אלי,צבי,יהל,נוסי
384118,שלושה ימים וילד (סרט),1967,דרמה,אורי זוהר,8,infobox+section,,עודד קוטלר,שי אושרוב,יהודית סולה,מישה אשרוב,ז'רמן אוניקובסקי,אילי גורליצקי,שושנה דואר,ניסן יתיר,,
1765180,איריס (סרט),1968,,דוד גרינברג,8,infobox+section,,גדעון שמר,שמוליק קראוס,ברכה נאמן,מנדי רייס-דייוויס,ליאורה רמון,יעקב בודו,חנה רובינא,ניסן יתיר,,
2529059,אסירי החופש,1968,דרמה,יונה זרצקי,9,infobox,,שרגא פרידמן,שושנה רביד,ז'אק כהן,אלי כהן,דליה פרידלנד,שי דנון,גבי אלדור,יעקב בנאי,יעקב בן-סירא,
1799770,הבן האובד (סרט),1968,דרמה,אלפרד שטיינהרדט | יוסף שלחין,10,infobox+section,,יצחק שילה,שאול שלחין,נינט דינר,יצחק מיכאל שילה,דורית שור,דסי הדרי,אלברט כהן,יהודה אפרוני,אסתר גרינברג,שלמה בר-שביט
1472160,המטרה טיראן,1968,פעולה | מלחמה,רפאל נוסבאום,10,infobox+section,,רוברט פולר,ראובן בר יותם,גבי עמרני,אברהם הפנר,אברהם מור,יוסף שילוח,אביבה מרקס,אמנון ברנזון,רפי נתן,הגשש החיוור
1485922,"המלחמה על השלום (סרט, 1968)",1968,תיעודי,ז'ול דאסן,3,infobox+section,,ז'ו דסאן,קלוד דופין,אנ',,,,,,,
2060190,הצד השני,1968,,אורי זוהר,9,infobox+section,,זאב רווח,מרדכי (פופיק) ארנון,ניסים עזיקרי,דבורה דותן,גבי עמרני,גברי בנאי,שייקה לוי,ישראל פוליאקוב,אמיר אוריין,
768803,השכונה שלנו,1968,קומדיה,אורי זוהר,10,infobox+section,,שייקה אופיר,ישראל פוליאקוב,שייקה לוי,גברי בנאי,גדי יגיל,גדעון זינגר,רבקה מיכאלי,בומבה צור,גבי עמרני,ציפי שביט
2443466,חמישה ימים בסיני,1968,דרמה,מאוריציו לוצ'ידי,8,infobox+section,,אסי דיין,זאב רווח,גדעון זינגר,אלי כהן,קטיה כריסטין,דניאל דובלינו,קרלו דה מאיו,פרנקו ג’ורנלי,,
1001124,טוביה ושבע בנותיו,1968,דרמה,מנחם גולן,10,infobox+section,,שמואל רודנסקי,בטי סגל,נינט דינר,אביטל פז,יהודית סולה,תקוה מור,מירה גן מור,פטר ואן אייק,אילי גורליצקי,רפי נתן
1407395,כל ממזר מלך,1968,דרמה,אורי זוהר,10,infobox+section,,יהורם גאון,עודד קוטלר,פייר אנג'לי,אורי לוי,אביבה פז,דבורה דותן,שייקה לוי,גברי בנאי,ישראל פוליאקוב,ראובן מורגן
1644183,נס בעיירה,1968,נעורים,ליאו פילר,10,infobox+section,,גדי יגיל,דסי הדרי,יעקב בודו,יעקב אלפרין,שלמה בר-שביט,יעקב ניצן,שחר קול,אברהם רונאי,רחל אטאס,ליה דוליצקיה
812054,ששת הימים (סרט),1968,תיעודי,אלפרד שטיינהרדט,1,infobox,,יוסי בנאי,,,,,,,,,
1438973,השמלה (סרט),1969,דרמה,ג'אד נאמן,5,infobox,,לאורה ריבלין,אסי דיין,מוטי ברכאן,יאיר רובין,ג'וזי כץ,,,,,
2433857,להט במים,1969,דרמה,יעקב המאירי,5,infobox,,זאב רווח,עירית שילה,אבנר חזקיהו,יעקב בנאי,יעקב אלפרין,,,,,
1979207,לפני מחר,1969,,אלידע גרא,6,infobox+section,,ישראל פוליאקוב,רינה גנור,רות הריס,אריה אליאס,שמעון ברון,שי דנון,,,,
566471,מצור (סרט),1969,דרמה,ג'ילברטו טופאנו,6,infobox,,גילה אלמגור,יהורם גאון,דן בן אמוץ,ערן אגמון,יעל אביב,אמיר אוריין,,,,
1687493,מרגו שלי,1969,דרמה,מנחם גולן,10,infobox+section,,לבנה פינקלשטיין,עודד תאומי,ברכה נאמן,אבנר חזקיהו,אברהם רונאי,ליה דוליצקיה,יוסף שילוח,אושיק לוי,יעקב בנאי,טובה פרדו
46526,תעלת בלאומילך,1969,קומדיה,אפרים קישון,10,infobox+section,,בומבה צור,ניסים עזיקרי,שרגא פרידמן,שייקה אופיר,גדעון זינגר,נתן וולפוביץ',זהרירה חריפאי,מוסקו אלקלעי,אלברט כהן,עודד תאומי
812433,אורח בעונה מתה,1970,דרמה,משה מזרחי,4,infobox+section,,עמוס קינן,הניה סוצ'ר-זיו,האנס כריסטיאן בלך,קלוד ריץ',,,,,,
1419014,הפריצה הגדולה,1970,פעולה | מלחמה | דרמה | הרפתקאות,מנחם גולן,10,infobox+section,,יהורם גאון,יוסף שילוח,אריק לביא,יהודה ברקן,גבי עמרני,ריק ג'ייסון,פיטר בראון,אשר צרפתי,מיכל בת-אדם,יוסי אלפי
1771822,התמהוני,1970,דרמה,דן וולמן,8,infobox+section,,טוביה טבי,לאורה ריבלין,ברטה ליטבינוב,שלמה בר-שביט,נתן כוגן,דבורה קידר,ישראל סגל,נתן וולפוביץ',,
770084,התרוממות (סרט),1970,קומדיה,אורי זוהר,10,infobox+section,,הגשש החיוור,אורי זוהר,שייקה לוי,גברי בנאי,ישראל פוליאקוב,לאורה ריבלין,ג'וזי כץ,תקוה מור,ציפי שביט,בומבה צור
617093,לופו,1970,קומדיה,מנחם גולן,10,infobox+section,,יהודה ברקן,גבי עמרני,מוטי גלעדי,אבירמה גולן,ליא קניג,אריק לביא,אסתר גרינברג,שושיק שני,יהודה אפרוני,אושיק לוי
98879,שבלול (סרט),1970,,בועז דוידזון,9,infobox+section,,אריק איינשטיין,שלום חנוך,הצ'רצ'ילים,אלונה איינשטיין,צבי שיסל,אורי זוהר,ג'וזי כץ,זאב רווח,ליהי חנוך,
2015141,אני ירושלמי,1971,תיעודי | מוזיקלי,יהורם גאון,2,infobox,,יהורם גאון,רחל צימרמן,,,,,,,,
2046536,בלומפילד (סרט),1971,דרמה,ריצ'רד האריס,10,infobox+section,,ריצ'רד האריס,רומי שניידר,קים ברפילד,יוסי ידין,אביבה מרקס,יוסי גרבר,שרגא פרידמן,גדעון שמר,ז'אק כהן,ראובן בר יותם
70969,השוטר אזולאי,1971,דרמה קומית,אפרים קישון,10,infobox+section,,שייקה אופיר,זהרירה חריפאי,ניצה שאול,אבנר חזקיהו,יוסף שילוח,איצקו רחמימוב,לידיה אופיר,לואיס רוזנברג,אריה אליאס,גבי עמרני
1708230,התרנגול,1971,קומדיה,אורי זוהר,10,infobox+section,,חיים טופול,גליה טופול,גדעון שמר,יצחק שילה,הלית קתמור,נעמי צ'אנס,ביטוש דוידוב,תמי צפרוני,אורי לוי,אורי זוהר
189061,חסמבה ונערי ההפקר,1971,,יואל זילברג,10,infobox+section,,שלמה ארצי,זאב רווח,דובי גל,אבי אוריה,מני פאר,עמוס טלשיר,דודו ירדני,גליה גופר,איציק וייס,עדית פאנק
1184766,חצי חצי,1971,קומדיה,בועז דוידזון,10,infobox+section,,ניסים עזיקרי,דורי בן זאב,זאב ברלינסקי,יוסי פולק,נחום בוכמן,אסי דיין,דוד ברוך,ראובן שפר,שפרירה זכאי,שמעון לב-ארי
766501,כץ וקרסו,1971,קומדיה,מנחם גולן,10,infobox+section,,יהודה ברקן,גדי יגיל,שמואל רודנסקי,ניצה שאול,יוסף שילוח,יהודה בארקן,אפרת לביא,ליא קניג,אסתר גרינברג,יהודה אפרוני
770666,מלכת הכביש,1971,דרמה,מנחם גולן,10,infobox+section,,גילה אלמגור,יהודה ברקן,יהודה בארקן,ליא קניג,מרים ברנשטיין-כהן,אשר צרפתי,אריה מוסקונה,רמי בן ארי,דודו ירדני,גליה ישי
1638650,פישקה במילואים,1971,קומדיה,ג'ורג' עובדיה,7,infobox+section,,משה סולו,פול סמית,גבי עמרני,צבי ירון,הנו ג'אבר,ליאורה רמון,רפי נתן,,,
145759,אני אוהב אותך רוזה,1972,דרמה | רומנטי,משה מזרחי,10,infobox+section,,מיכל בת-אדם,גבי אוטרמן,אבנר חזקיהו,יוסף שילוח,לבנה פינקלשטיין,משה טל,רות דורון,עליזה רוזן,אלישבע מיכאלי,אתי גרוטס
2203649,הבריחה אל השמש,1972,דרמה,מנחם גולן,10,infobox+section,,יהודה בארקן,ג'וזפין צ'פלין,לורנס הארווי,לילה קדרובה,ג'ק הוקינס,יהודה אפרוני,גילה אלמגור,פיטר קאפל,גרדה הנושק,ג'ון איירלנד
2102869,הגלולה,1972,דרמה | פנטזיה,דוד פרלוב,9,infobox+section,,יוסי בנאי,אבנר חזקיהו,ז'רמן אוניקובסקי,שרגא פרידמן,אדית אסטרוק,גדעון זינגר,משה טימור,זהרירה חריפאי,מרדכי בן זאב,
873397,"הטרמפיסט (סרט, 1972)",1972,פעולה מדע בדיוני,עמוס ספר,3,infobox+section,,אשר צרפתי,שמואל וולף,סוזן ופרן,,,,,,,
1639377,ז'אקו והיצאניות,1972,דרמה,פול ל. סמית',10,infobox+section,,אושיק לוי,נינט דינר,תמי ספיבק,דודו טופז,עליזה אביב,יעל אביב,משה סולו,רות גלר,גליה גופר,שרית ישי לוי
1936855,לא ביום ולא בלילה (סרט),1972,עצמאי,סטיבן הילארד שטרן,9,infobox+section,,אלי כהן,זלמן קינג,מרים ברנשטיין-כהן,דליה פרידלנד,מונה זילברשטיין,מישה אשרוב,ג'טה לוקה,דודיק סמדר,אדוארד ג'י רובינסון,
187500,לאן נעלם דניאל וקס?,1972,דרמה,אברהם הפנר,10,infobox+section,,ליאור ייני,אסתר זבקו,ישי שחר,יעל הפנר,זיוית אברמסון,מרים גבריאלי,יוסף כרמון,אמנון מסקין,עליזה רוזן,אריאל זילבר
1654152,מי ורדים מפורט סעיד,1972,,רם לוי,8,infobox+section,,שושנה רביד,אוריאלה וייט,עדית בר משה,נתן כוגן,גדליה בסר,יוסי גרבר,שמעון סיאני,שמואל אומני,,
94374,מציצים,1972,דרמה קומית,אורי זוהר,10,infobox+section,,אורי זוהר,אריק איינשטיין,סימה אליהו,מונה זילברשטיין,צבי שיסל,מרדכי בן זאב,מוטי ארבל,דב פרידמן,מרגלית אנקורי,מרדכי ארנון
1352160,נורית (סרט),1972,מלודרמה מוזיקלית,ג'ורג' עובדיה,8,infobox+section,,יונה אליאן,ששי קשת,ז'אק כהן,אריה אליאס,יעקב בן-סירא,עזרא דגן,טובה פרדו,אברהם רונאי,,
1639242,נחצ'ה והגנרל,1972,קומדיה,ג'ורג' עובדיה,10,infobox+section,,יעקב בודו,גדעון זינגר,גבי עמרני,פול סמית,דובי גל,ציפי שביט,טוביה צפיר,שלמה וישינסקי,רחל טימור,שמואל אומני
1115120,סלומוניקו,1972,קומדיה,אלפרד שטיינהרדט,10,infobox+section,,ראובן בר יותם,לבנה פינקלשטיין,גבי עמרני,אתי גרוטס,ג'וקי ארקין,רבקה מיכאלי,מני פאר,יעקב בן-סירא,יהודה אפרוני,אריה מוסקונה
290636,עזית הכלבה הצנחנית (סרט),1972,פעולה,בועז דוידזון,10,infobox+section,,ברוך דוד,גדעון זינגר,מונה זילברשטיין,יוסי פולק,דוד ברוך,תקווה עזיז,שמואל אומני,ראובן שפר,שמואל וולף,יוסף כרמון
1773902,פלוך,1972,,דן וולמן,10,infobox+section,,אברהם חלפי,ישראל סגל,לולה יעקובוביץ,עדה ספיר,עפרה דירון,סאביץ גולדרייך,חנוך לוין,נתן וולפוביץ',ארנן צפריר,איצקו רחמימוב
31687,שוד הטלפונים הגדול,1972,קומדיה,מנחם גולן,10,infobox+section,,גדי יגיל,בומבה צור,יהודה אפרוני,אבנר חזקיהו,גבי עמרני,גדעון זינגר,שייקה אופיר,אברהם רונאי,אלישבע מיכאלי,אתי גרוטס
934107,שתי דפיקות לב,1972,,שמואל אימברמן,10,infobox+section,,יהודה ברקן,מונה זילברשטיין,אילן דר,ליה קניג,אדית אסטרוק,ליא קניג,מישה נתן,אבי פניני,יוסי וירז'נסקי,תקווה עזיז
1132435,אבו אל בנאת,1973,דרמה,משה מזרחי,9,infobox+section,,שייקה אופיר,זהרירה חריפאי,יוסף שילוח,מיכל בת-אדם,גדעון זינגר,אבנר חזקיהו,נעמי גרינבאום,יצחק נאמן,דוד ברוך,
1981000,אדם (סרט),1973,דרמה,,10,infobox+section,,שמוליק קראוס,אילן דר,שלמה וישינסקי,יהודה פוקס,איריס דוידסקו,שמוליק עצמון,מוטי בהרב,גד קינר,אריאל פורמן,לאו יונג
2039812,אור מן ההפקר,1973,דרמה,נסים דיין,10,infobox+section,,נסים לוי,שלמה בסן,אייבי זלצברג,אסתר אשד,שי דנון,בתיה רוזנטל,רולף ברין,אלכסנדר יהלומי,ששון גבאי,יעקב רודה
103246,הבית ברחוב שלוש,1973,דרמה,משה מזרחי,10,infobox+section,,גילה אלמגור,עופר שלחין,יוסף שילוח,מיכל בת-אדם,שייקה אופיר,אבנר חזקיהו,חיים בנאי,אתי גרוטס,יוסי פולק,רולף ברין
1100856,הבלש האמיץ שוורץ,1973,קומדיה,עמי ארצי,10,infobox+section,,בומבה צור,מונה זילברשטיין,ששי קשת,אילן דר,יוסף שילוח,טליה שפירא,גדעון זינגר,חינה רוזובסקה,אביבה מרקס,אורי זוהר
2505223,הוא היא והוא,1973,,אורי גבריאלי,2,infobox+section,,ג'וקי ארקין,אסתר זבקו,,,,,,,,
2047088,"המשכנע בע""מ",1973,,יחיאל נאמן,2,infobox,,ראובן בר יותם,גבי אלדור,,,,,,,,
2082499,הסנדלר העליז,1973,,ניקו סאפאי,8,infobox+section,,יעקב בן-סירא,גדעון זינגר,אריס סאן,נירה גל,בטי פלדמן,ציונה טוכטרמן,ששי קשת,יהושע לוף,,
1646849,חכם גמליאל,1973,,יואל זילברג,9,infobox+section,,יוסי בנאי,אושיק לוי,אביבה גר,דב פרידמן,מירי אלוני,יוסי פולק,נחום שליט,שמעון לב-ארי,תקוה עזיז,
2055036,מתנה משמיים (1973),1973,,גד בן ארצי,10,infobox+section,,עמוס טל שיר,עדנה לב,יוסי פולק,גבי עמרני,דבורה קידר,ז'אק כהן,איריס דוידסקו,יעקב בנאי,אשר צרפתי,יוסי אלפי
1677247,קוראים לי שמיל,1973,קומדיה,ג'ורג' עובדיה,10,infobox+section,,אורי זוהר,פול סמית,יונה אליאן,רחל פורמן,ג'ו ג'אפרי,זישא גולד,ששי קשת,בועז שרעבי,משה סולו,לולה יעקובוביץ
1189870,קזבלן (סרט),1973,מוזיקלי,מנחם גולן,10,infobox+section,,יהורם גאון,אפרת לביא,אריה אליאס,אתי גרוטס,יהודה אפרוני,ג'טה לוקה,יוסי גרבר,אברהם רונאי,מישה אשרוב,יענקלה בן סירא
271128,"שלום, תפילת הדרך",1973,דרמה,יקי יושע,5,infobox,,אברהם בן-יוסף,אילן תורן,ישראל גוריון,אהרון אלמוג,רפי אדר,,,,,
185909,המכה ה-81,1974,תיעודי,חיים גורי | ז'אק ארליך | דוד ברגמן,0,not_found,,,,,,,,,,,
2062021,"יום הדין (סרט, 1974)",1974,דרמה,ג'ורג' עובדיה,10,infobox+section,,ניסים סרוסי,דליה פרידלנד,יוסי וירז'נסקי,נסים סרוסי,טובה קצב,פנינה מנקין,רחל יוסיפון,ג'טה לוקה,יצחק חביס,מנשה ורשבסקי
188626,עיניים גדולות,1974,דרמה | קומדיה,אורי זוהר,10,infobox+section,,אורי זוהר,אריק איינשטיין,סימה אליהו,טליה שפירא,צבי שיסל,מנשה ורשבסקי,אליה זוהר,אביגדור צברי,אלונה איינשטיין,מיכאל שדה
22794,צ'רלי וחצי,1974,קומדיה | בורקס,בועז דוידזון,10,infobox+section,,יהודה בארקן,זאב רווח,טוביה צפיר,דוד שושן,משה איש כסית,חיה קציר,אריה אליאס,עדנה פלידל,גאולה נוני,אלישבע מיכאלי
433115,שרית,1974,דרמה,ג'ורג' עובדיה,10,infobox+section,,דליה פרידלנד,יגאל בשן,אלישבע מיכאלי,חיה קציר,ירדנה ארזי,אריאל פורמן,אברהם רונאי,אתי גרוטס,נאוה ברוכין,מני פאר
2489970,איש רחל,1975,דרמה,משה מזרחי,10,infobox+section,,לאונרד ויטינג,מיכל בת-אדם,ריטה טאשינגהם,מיקי רוני,רחל לוי,שירה שפירא,דליה כהן,יאיר רובין,יוסי גרבר,משה איש כסית
1960545,הדיבר ה-11,1975,,שלמה סוריאנו,5,infobox+section,,מיכל בת-אדם,יוסי גרבר,אביבה מרקס,צחי נוי,אברהם רונאי,,,,,
22674,חגיגה בסנוקר,1975,קומדיה | בורקס,בועז דוידזון,10,infobox+section,,יהודה ברקן,זאב רווח,יוסף שילוח,טוביה צפיר,ניצה שאול,אריה אליאס,יעקב בנאי,יהודה בארקן,מוסקו אלקלעי,טליה שפירא
1154621,חגיגה לעיניים,1975,קומדיה שחורה,אסי דיין,7,infobox,,יוסף שילוח,מוסקו אלקלעי,טליה שפירא,דורי בן זאב,מרדכי בן זאב,אבנר חזקיהו,מרים גבריאלי,,,
1381126,יהיה טוב סלומוניקו,1975,קומדיה,אלפרד שטיינהרדט,10,infobox+section,,ראובן בר יותם,יונה אליאן,שייקה אופיר,מני פאר,מוני מושונוב,רונית פורת,זאב ברלינסקי,אלברט כהן,יאיר רובין,אשר צרפתי
2105220,"יהלומים (סרט, 1975)",1975,שוד | דרמה | פשע,מנחם גולן,10,infobox+section,,רוברט שו,ריצ'רד ראונדטרי,שלי וינטרס,ברברה הרשי,שייקה אופיר,גדי יגיל,יוסף שילוח,יהודה אפרוני,יוסי גרבר,יונה אליאן
1769153,מיכאל שלי (סרט),1975,דרמה,דן וולמן,7,infobox+section,,עודד קוטלר,אפרת לביא,מוטי ארבל,אירית מאירי,ישראל סגל,אולגה שפנדורף,דינה רויטקוף,,,
1186704,שלושה ואחת,1975,דרמה,מיכאל קאליק,5,infobox+section,,יונה אליאן,אסי דיין,אורי לוי,אבישי אביבי,רפי נלסון,,,,,
2104205,"ג'וקר (סרט, 1976)",1976,,יצחק צפל ישורון,10,infobox+section,,יהורם גאון,שמואל אומני,אדית אסטרוק,ציפורה וילצ'ר,הלל נאמן,חיים שנער,אתל קובינסקה,שבתאי קונורטי,עזרא כפרי,ברוך ששון
20625,גבעת חלפון אינה עונה,1976,קומדיה,אסי דיין,10,infobox+section,,ישראל פוליאקוב,שייקה לוי,גברי בנאי,אריה מוסקונה,רפי גינאי,אושיק לוי,מנחם זילברמן,משה איש כסית,טוביה צפיר,לאנס קראונר
2259321,הבננה השחורה,1976,קומדיה,בנימין חיים,9,section,,דני כנרות,אריק מנקין,אורנה אורשן,יוסל'ה יוסלביץ,פנינה מנקין,בנימין צמח,גניה מימון,ג'סי נחייסי,מוחמד עזאם,
1100963,המלאך היה שטן,1976,מתח,משה גז,2,infobox,,אופליה שטראל,מירי בן דוד,,,,,,,,
282121,יופי של צרות!,1976,קומדיה,אסי דיין,10,infobox+section,,זאב רווח,יונה אליאן,טוביה צפיר,גבי עמרני,משה איש כסית,טליה שפירא,רבקה מיכאלי,עליזה רוזן,מרדכי בן זאב,נתן וולפוביץ'
